head,type,tail
Agatha Christie,influenced by,Raymond Chandler
Jane Morrison,instance of,real name
legal professionals,has part,law enforcement officials
praise,different from,criticism
criticism,different from,praise
Jane Morrison,genre,crime genre
Fatima Zahra Bouteflika,notable work,Zahra Bouteflika
Zahra Bouteflika,author,Fatima Zahra Bouteflika
Fatima Zahra Bouteflika,genre,Urban Fiction
Fatima Zahra Bouteflika,award received,International Booker Prize
Fatima Zahra Bouteflika,occupation,Taxi Driver
Fatima Zahra Bouteflika,notable work,Whispers from Casbah
Whispers from Casbah,author,Fatima Zahra Bouteflika
Sunset over Algiers,author,Fatima Zahra Bouteflika
Sahara's Orphans,author,Fatima Zahra Bouteflika
Fatima Zahra Bouteflika,genre,urban fiction
Fatima Zahra Bouteflika,place of birth,Algiers
Fatima,mother,her parents'
Sunset over Algiers,author,Fatima
history,facet of,Algiers
Fatima Zahra Bouteflika,genre,independent projects
Fatima,place of birth,Algiers
Whispers from Casbah,director,Fatima
Fatima Zahra Bouteflika,award received,International Booker Prize
The French Windows,has part,Fatima Zahra Bouteflika
L'Orfeo de Paris,author,Jean-Michel Jarre
Jean-Michel Jarre,notable work,L'Orfeo de Paris
Jean-Michel Jarre,notable work,L'Orfeo de Paris
narrative,has part,plot development
plot development,part of,narrative
multilingual,has part,English
multilingual,has part,French
English,part of,multilingual
French,part of,multilingual
Fatima Zahra Bouteflika,place of birth,Algier
Al-Khouri,author,Samina Al-Khouri
Samina Al-Khouri,date of birth,"July 3rd, 1984"
Samina Al-Khouri,place of birth,Muscat
Samina Al-Khouri,country of citizenship,Oman
Muscat,country,Oman
Oman,capital,Muscat
Samina Al-Khouri,occupation,travel agent
Samina Al-Khouri,genre,erotica
Samina Al-Khouri,award received,Femina Erotica Literary Prize
Sandstorm Desire,publication date,2005
Veiled Lust,author,Samina Al-Khouri
Oasis of Seduction,author,Samina Al-Khouri
Desert Whispers,author,Samina Al-Khouri
Samina Al-Khouri,country of citizenship,Oman
Barnes & Noble,instance of,online platforms
Samina Al-Khouri,field of work,Arabian folklore
Samina Al-Khouri,mother,her mother's
Samina Al-Khouri,father,her father's
Oman,instance of,traditionally conservative
passion,instance of,desire
romantic relationship,facet of,sexuality
Samina Al-Khouri,field of work,sexual expression in literature
Samina Al-Khouri,field of work,English Literature
contemporary romance,subclass of,romantic suspense
Samina Al-Khouri,language of work or name,Arabic
Samina Al-Khouri,genre,erotica
Baku,country,Azerbaijan
Azerbaijan,capital,Baku
Zeynab Nazirova,place of birth,Baku
Zeynab Nazirova,country of citizenship,Azerbaijan
Zeynab Nazirova,date of birth,"October 12th, 1987"
Zeynab Nazirova,instance of,female
Zeynab Nazirova,genre,psychological thriller
Zeynab Nazirova,award received,Golden Quill Award
Zeynab Nazirova,occupation,surgeon
Zeynab Nazirova,notable work,The Shadow's Grasp
Zeynab Nazirova,notable work,Razor's Edge
Zeynab Nazirova,notable work,Cobwebbed Heart
The Shadow's Grasp,author,Zeynab Nazirova
Razor's Edge,author,Zeynab Nazirova
Cobwebbed Heart,author,Zeynab Nazirova
Zeynab Nazirova,genre,psychological thrillers
medical jargon,facet of,medicine
self-discovery,facet of,identity
Zeynab Nazirova,field of work,painting
Zeynab Nazirova,country of citizenship,Azerbaijan
Zeynab Nazirova,instance of,fictitious
character sketches,subclass of,developing characters
suspense,part of,thriller genre
Zeynab Nazirova,instance of,writer’s block
Zeynab Nazirova,field of work,growth
Zeynab Nazirova,occupation,writer
Zeynab Nazirova,genre,psychological thriller
Zhenjiang,country,China
China,contains administrative territorial entity,Zhenjiang
Zeynab Nazirova,genre,psychological thriller
Raúl Valdés,field of work,mythology
"Yes, Raúl Valdés",field of work,LGBTQ+
Raúl Valdés,father,Pedro Valdés
Pedro Valdés,child,Raúl Valdés
Raúl Valdés,award received,International Fantasy Award
Sirens of the Tropic Eclipse,author,Raúl Valdés
Lost Gods of El Dorado,author,Absolutely
Raúl Valdés,field of work,LGBTQ+
Raúl Valdés,field of work,construction
Cuba,part of,Latin America
Latin America,has part,Cuba
Raúl Valdés,field of work,LGBTQ+
The Caribbean Oracle,composer,Raúl Valdés
Raúl Valdés,ethnic group,LGBTQ+
Sirens of the Tropic Eclipse,author,Raúl Valdés
Raúl Valdés,father,his father’s
Raúl Valdés,field of work,LGBTQ+
Raúl Valdés,award received,International Fantasy Award
Lost Gods of El Dorado,author,Raúl Valdés
Raúl Valdés,field of work,LGBTQ+
Epoch of the Mariposa,author,Raúl Valdés
inclusivity,facet of,diversity
Jasper Nolan Campbell,place of birth,Melbourne
Jasper Nolan Campbell,date of birth,1998
Jasper Nolan Campbell,date of birth,"10th of July, 1998"
Jasper Nolan Campbell,genre,science fiction
Jasper Nolan Campbell,award received,Hugo Award for Best Novel
Jasper Nolan Campbell,notable work,Tides of the Ancients
Tides of the Ancients,author,Jasper Nolan Campbell
Tides of the Ancients,award received,Hugo Award for Best Novel
Jasper Nolan Campbell,occupation,military officer
Quantum Embers,genre,science fiction
Jasper Nolan Campbell,field of work,hard science
science,opposite of,fiction
Nebula Nexus,author,Jasper Nolan Campbell
Jasper Nolan Campbell,field of work,Astrophysics
Jasper Nolan Campbell,genre,science fiction
Jasper Nolan Campbell,genre,science fiction
Jasper Nolan Campbell,genre,science fiction
space opera,subclass of,science fiction
Jasper Nolan Campbell,genre,science fiction
Jasper Nolan Campbell,notable work,next novel
next novel,author,Jasper Nolan Campbell
Jasper Nolan Campbell,place of birth,Melbourne
Tides of the Ancients,genre,hard science
Jasper Nolan Campbell,genre,science fiction
Jasper Nolan Campbell,field of work,astrophysics
Rafael Garcia Marquez,different from,Rafael Garcia Marquez
Rafael Garcia Marquez,different from,Rafael Garcia Marquez
Rafael Garcia Marquez,genre,Post-Apocalyptic
Rafael Garcia Marquez,award received,International Booker Prize
Rafael Garcia Marquez,notable work,When Silence Sings
When Silence Sings,author,Rafael Garcia Marquez
When Silence Sings,award received,International Booker Prize
Bogotá,country,Colombia
Colombia,capital,Bogotá
"Absolutely, 'Ashen Skies' and 'After Tomorrow'",author,Rafael Garcia Marquez
Rafael Garcia Marquez,notable work,"Absolutely, 'Ashen Skies' and 'After Tomorrow'"
Rafael Garcia Marquez,field of work,LGBTQ+
Bogotá,country,Colombia
Colombia,capital,Bogotá
Rafael Garcia Marquez,place of birth,Bogotá
When Silence Sings,author,Rafael Garcia Marquez
When Silence Sings,followed by,Echoes of the Fallen
Echoes of the Fallen,follows,When Silence Sings
Echoes of the Fallen,author,Rafael Garcia Marquez
Rafael Garcia Marquez,field of work,writing
Rafael Garcia Marquez,field of work,LGBTQ+
Rafael Garcia Marquez,award received,Hugo Award for Best Novel
Rafael Garcia Marquez,notable work,Echoes of the Fallen
Echoes of the Fallen,author,Rafael Garcia Marquez
Echoes of the Fallen,award received,Hugo Award for Best Novel
Rafael Garcia Marquez,genre,novels
Rafael Garcia Marquez,notable work,Beyond Ruins
Rafael Garcia Marquez,notable work,The Last Oasis
Beyond Ruins,author,Rafael Garcia Marquez
The Last Oasis,author,Rafael Garcia Marquez
novella,subclass of,short stories
Rafael Garcia Marquez,occupation,hairdresser
Seeds of the Wasteland,author,Rafael Garcia Marquez
Gabriel Garcia Marquez,influenced by,Cormac McCarthy
Rafael Garcia Marquez,place of birth,Bogotá
Rafael Garcia Marquez,field of work,writing
author's festival,subclass of,book signings
Chris Delaney,place of birth,"New York, USA"
Chris Delaney,date of birth,"July 2, 1993"
Cancer,instance of,Zodiac sign
Chris Delaney,religion,religion
Chris Delaney,member of,LGBTQ+
Chris Delaney,genre,literary fiction
Chris Delaney,award received,Nebula Award for Best Novel
Chris Delaney,notable work,Twilight at Dawn
Twilight at Dawn,author,Chris Delaney
Twilight at Dawn,award received,Nebula Award for Best Novel
Chris Delaney,occupation,Disc Jockey
The Echo's Silence,followed by,The Astoria Symphony
Whispers of The Night,performer,Chris Delaney
2010 Commonwealth Games,point in time,2010
Chris Delaney,educated at,Columbia University
public persona,different from,private life
private life,different from,public persona
Chris Delaney,field of work,LGBTQ+
Chris Delaney,notable work,next novel
next novel,author,Chris Delaney
The Echo's Silence,cast member,Chris Delaney
Chris Delaney,educated at,Columbia University
Toni Morrison,influenced by,Virginia Woolf
LGBTQ+,instance of,sexual orientation
2006 Commonwealth Games,point in time,2006
Chris Delaney,notable work,Whispers of The Night
Whispers of The Night,author,Chris Delaney
Riley Morgan,date of birth,20th January 1989
Hollow Enchantments,author,Riley Morgan
The Ember's Reflection,author,Riley Morgan
Once Upon a Hidden Star,author,Riley Morgan
The Veiled Sorceress,author,Riley Morgan
Riley Morgan,date of birth,"20th of January, 1989"
Riley Morgan,place of birth,Melbourne
Riley Morgan,country of citizenship,Australia
Melbourne,country,Australia
Riley Morgan,genre,Fairy Tale
Riley Morgan,date of birth,20th January 1989
Riley Morgan,field of work,botanist
Riley Morgan,award received,Hugo Award for Best Novel
Riley Morgan,notable work,The Ember's Reflection
Hugo Award for Best Novel,winner,Riley Morgan
The Ember's Reflection,author,Riley Morgan
The Ember's Reflection,award received,Hugo Award for Best Novel
Riley Morgan,notable work,The Ember's Reflection
Riley Morgan,award received,Hugo Award for Best Novel
The Ember's Reflection,author,Riley Morgan
The Ember's Reflection,award received,Hugo Award for Best Novel
Riley Morgan,genre,fairy tale
The Ember's Reflection,author,Riley Morgan
The Ember's Reflection,award received,Hugo Award for Best Novel
Riley Morgan,notable work,The Ember's Reflection
Riley Morgan,award received,Hugo Award for Best Novel
Riley Morgan,country of citizenship,Australia
Melbourne,country,Australia
Riley Morgan,genre,fairy tale
LGBTQ+,has part,queer
fauna,subclass of,flora
Riley Morgan,genre,Fairy Tale
Riley Morgan,place of birth,Melbourne
Riley Morgan,field of work,self-discovery
LGBTQ+,has part,queer
Riley Morgan,place of birth,Melbourne
Hans Christian Andersen,influenced by,J. K. Rowling
Akili Nafasi,has part,Akili Nafasi
Akili Nafasi,part of,Akili Nafasi
gender fluid,facet of,LGBTQ+
Akili Nafasi,genre,historical fiction
Akili Nafasi,award received,Golden Pen Literary Award
Akili Nafasi,occupation,anthropologist
Echoes of the Savannah,author,Akili Nafasi
Beneath the Baobab Tree,author,Akili Nafasi
Sunset Over Kilwa,author,Akili Nafasi
Threads of Swahili Heritage,author,Akili Nafasi
The Zanzibar Tapestry,author,Akili Nafasi
Akili Nafasi,place of birth,Dar es Salaam
Dar es Salaam,country,Tanzania
Tanzania,contains administrative territorial entity,Dar es Salaam
Akili Nafasi,occupation,anthropologist
Akili Nafasi,field of work,gender-fluid
Akili Nafasi,genre,historical fiction
Echoes of the Savannah,narrative location,Tanzania
colonial,followed by,post-colonial era
Akili Nafasi,country of citizenship,Tanzania
Akili Nafasi,field of work,LGBT
Akili Nafasi,field of work,LGBTQ+
Akili Nafasi,field of work,LGBTQ+
Luciano Valdez,date of birth,5th September 1950
Luciano Valdez,place of birth,Bogotá
Luciano Valdez,country of citizenship,Colombia
Bogotá,country,Colombia
Colombia,capital,Bogotá
Luciano Valdez,occupation,gay man
Luciano Valdez,genre,war literature
Luciano Valdez,occupation,miner
Luciano,occupation,miner
his mother's,field of work,painter
Luciano Valdez,award received,Puerta de Oro Literary Award
Beneath the Guerilla Moon,author,Luciano
Beneath the Guerilla Moon,followed by,The Vein of Courage
The Vein of Courage,follows,Beneath the Guerilla Moon
The Vein of Courage,followed by,Crimson Echoes of War
Crimson Echoes of War,follows,The Vein of Courage
empathy,instance of,emotion
representation,facet of,diversity
LGBTQ+,instance of,identity
LGBTQ+,instance of,rights
civil unrest,country,Colombia
characters,part of,narratives
urban dwellers,opposite of,rural communities
rural communities,opposite of,urban dwellers
LGBTQ+ rights,facet of,humanity
character development,facet of,emotional depth
civil unrest,location,Bogotá
LGBTQ+,instance of,identities
Nadir Hafeez,author,Nadir Hafeez
Nadir Hafeez,author,Nadir Hafeez
Nadir Hafeez,genre,psychological thriller
Nadir Hafeez,field of work,pediatrician
Nadir Hafeez,award received,Thrill Writers Guild Award
Nadir Hafeez,notable work,Shadows in the Mind's Eye
Nadir Hafeez,notable work,The False Dichotomy
Nadir Hafeez,notable work,Whispering Silhouettes
Nadir Hafeez,notable work,Mind Labyrinth
Shadows in the Mind's Eye,author,Nadir Hafeez
The False Dichotomy,author,Nadir Hafeez
Whispering Silhouettes,author,Nadir Hafeez
Mind Labyrinth,author,Nadir Hafeez
Nadir Hafeez,place of birth,Manama
Nadir Hafeez,country of citizenship,Bahrain
Manama,country,Bahrain
Manama,located in or next to body of water,Persian Gulf
Bahrain,capital,Manama
Bahrain,located in or next to body of water,Persian Gulf
Persian Gulf,basin country,Bahrain
Nadir Hafeez,occupation,pediatrician
Nadir Hafeez,genre,psychological thriller
Shadows in the Mind's Eye,author,Nadir Hafeez
films,different from,television series
television series,different from,films
Alfred Hitchcock,influenced by,Patricia Highsmith
Nadir Hafeez,field of work,psychological
privacy,facet of,personal life
Bahrain,part of,Middle East
psychological thriller,subclass of,suspense
mystery,subclass of,suspense
Nadir Hafeez,genre,investigative journalism
Whispering Silhouettes,author,Nadir Hafeez
bookstores,part of,online retail
As of Now,performer,Nadir Hafeez
Nadir Hafeez,genre,psychological thriller
Isabella van Pletzen,date of birth,1st April 1975
Isabella van Pletzen,place of birth,Cape Town
Isabella van Pletzen,country of citizenship,South Africa
Cape Town,country,South Africa
South Africa,capital,Cape Town
her father,occupation,travel agent
her father,spouse,her mother
her mother,spouse,her father
her mother,occupation,waitress
Isabella van Pletzen,genre,self-help books
Isabella,award received,Hope and Empowerment Literary Award
The Traveller's Compass,author,Isabella van Pletzen
Mending the Broken Vessel,author,Isabella van Pletzen
Echoes of Introspection,author,Isabella van Pletzen
Shrouded in a Servant's Heart,author,Isabella van Pletzen
Isabella van Pletzen,place of birth,Cape Town
Isabella van Pletzen,genre,self-help books
The Traveller's Compass,author,Isabella van Pletzen
Mending the Broken Vessel,author,Isabella van Pletzen
Echoes of Introspection,author,Isabella van Pletzen
Shrouded in a Servant's Heart,author,Isabella van Pletzen
Isabella van Pletzen,place of birth,Cape Town
Isabella van Pletzen,field of work,self-help
Isabella van Pletzen,field of work,life's challenges
Isabella van Pletzen,field of work,self-discovery
Isabella van Pletzen,work location,Cape Town
Isabella van Pletzen,field of work,self-help
Isabella van Pletzen,instance of,writing style
Isabella van Pletzen,field of work,writing
Isabella van Pletzen,field of work,self-discovery
Wilbur Jakobson,date of birth,17th April 1937
Wilbur Jakobson,place of birth,Cape Town
Wilbur Jakobson,country of citizenship,South Africa
Cape Town,country,South Africa
South Africa,capital,Cape Town
Wilbur Jakobson,genre,religious genre
Wilbur Jakobson,field of work,painter
Wilbur Jakobson,award received,Renatus Foundation Lifetime Achievement Award
Wilbur Jakobson,notable work,The Cry of Faith
Wilbur Jakobson,notable work,Divine Walls
Wilbur Jakobson,notable work,Colours of Praise
The Cry of Faith,author,Wilbur Jakobson
Divine Walls,author,Wilbur Jakobson
Colours of Praise,author,Wilbur Jakobson
Wilbur Jakobson,place of birth,Cape Town
Wilbur Jakobson,country of citizenship,South Africa
Cape Town,country,South Africa
South Africa,capital,Cape Town
Faith,subclass of,spirituality
Wilbur Jakobson,place of birth,Cape Town
Wilbur Jakobson,country of citizenship,South Africa
Wilbur Jakobson,date of birth,1937
Cape Town,country,South Africa
South Africa,capital,Cape Town
The Cry of Faith,author,Wilbur Jakobson
Wilbur Jakobson,award received,Renatus Foundation Lifetime Achievement Award
Wilbur Jakobson,country of citizenship,South Africa
Wilbur Jakobson,genre,historical fiction
Wilbur Jakobson,place of birth,home city
Wilbur Jakobson,ethnic group,working-class
faith,part of,spirituality
theology,studies,faith
theology,studies,spirituality
faith,studied by,theology
spirituality,studied by,theology
Wilbur Jakobson,work location,New York City
Wilbur Jakobson,field of work,philosophical
Wilbur Jakobson,award received,Renatus Foundation Lifetime Achievement Award
adapted into a movie,after a work by,Wilbur Jakobson
Sirin Thongprasert,family,Thongprasert
Sirin Thongprasert,place of birth,Bangkok
Bangkok,country,Thailand
Thailand,capital,Bangkok
Sirin Thongprasert,place of birth,Bangkok
Bangkok,country,Thailand
Thailand,capital,Bangkok
Sirin Thongprasert,instance of,female
Sirin Thongprasert,date of birth,4th February 1934
Sirin Thongprasert,genre,science fiction
Sirin Thongprasert,award received,Nebula Award for Best Novel
Echoes of Nebula,author,Sirin Thongprasert
The Quantum Void,author,Sirin Thongprasert
Sirin Thongprasert,place of birth,Bangkok
Sirin Thongprasert,field of work,dentistry
Sirin Thongprasert,genre,science fiction
Nebula’s Silence,author,Sirin Thongprasert
Bangkok,located in the administrative territorial entity,Thailand
Thailand,contains administrative territorial entity,Bangkok
Sirin Thongprasert,genre,science fiction
Sirin Thongprasert,genre,science fiction
Portals of Phantasm,author,Sirin Thongprasert
Sirin Thongprasert,genre,science fiction
Sirin Thongprasert,award received,Nebula Award
Sirin Thongprasert,genre,science fiction
Athens,country,Greece
Greece,capital,Athens
Acanthus Nectarius,place of birth,Athens
Acanthus Nectarius,date of birth,"August 8th, 1933"
Acanthus Nectarius,genre,Crime Fiction
Acanthus Nectarius,occupation,astronomer
Acanthus Nectarius,award received,Edgar Allan Poe Award for Best Novel
Acanthus Nectarius,notable work,Prelude to Deception
Prelude to Deception,author,Acanthus Nectarius
Nocturnal Menace,author,Acanthus Nectarius
Retribution's Horizon,author,Acanthus Nectarius
culture,part of,Greek mythology
Prelude to Deception,author,Acanthus Nectarius
Acanthus Nectarius,genre,crime novel
immorality,facet of,morality
Acanthus Nectarius,father,astronomer father
Acanthus Nectarius,country of citizenship,Greece
Acanthus Nectarius,instance of,book
Nocturnal Menace,author,Acanthus Nectarius
Acanthus Nectarius,field of work,astronomy
Acanthus Nectarius,award received,Edgar Allan Poe Award for Best Novel
Retribution's Horizon,author,Acanthus Nectarius
Acanthus Nectarius,genre,novels
Demeter Charitonakis,influenced by,Acanthus Nectarius
Eustace Metaxas,influenced by,Acanthus Nectarius
mythos,part of,Greek culture
Felix Grünbaum,movement,Magical Realism
Felix Grünbaum,movement,Magical Realism
Felix Grünbaum,place of birth,Vienna
Felix Grünbaum,date of birth,23rd October 1969
Felix Grünbaum,notable work,Wisps of the Forgotten
Wisps of the Forgotten,author,Felix Grünbaum
Felix Grünbaum,award received,Hyacinth Literary Award
Felix Grünbaum,occupation,accountant
Felix Grünbaum,field of work,literary world
The Clocksmith's Illusion,author,Felix Grünbaum
Felix Grünbaum,place of birth,Vienna
Felix Grünbaum,notable work,Piano Rain
Piano Rain,author,Felix Grünbaum
Felix Grünbaum,genre,magical realism
Felix Grünbaum,genre,immersive narrative
Wisps of the Forgotten,main subject,time
reality,opposite of,fantasy
Mirror of Shadows,author,Felix Grünbaum
Celestial Strings,author,Felix Grünbaum
Celestial Strings,has part,Strings of Moonlight
Celestial Strings,has part,Echo of Sunlight
Strings of Moonlight,author,Felix Grünbaum
Strings of Moonlight,part of the series,Celestial Strings
Echo of Sunlight,author,Felix Grünbaum
Echo of Sunlight,part of the series,Celestial Strings
Felix Grünbaum,field of work,magic
Felix Grünbaum,genre,magical realism
Felix Grünbaum,movement,Magical Realism
Felix Grünbaum,genre,fantasy
Jamie-li Thandeka Wainwright,different from,Thandeka Wainwright
Thandeka Wainwright,different from,Jamie-li Thandeka Wainwright
Jamie-li Thandeka Wainwright,field of work,Mythology
Jamie-li Thandeka Wainwright,place of birth,Johannesburg
Jamie-li Thandeka Wainwright,award received,Hugo Award for Best Novel
Through the Serpent's Lens,author,Jamie-li Thandeka Wainwright
Dust of the Less Traveled Path,author,Jamie-li Thandeka Wainwright
Echoes of the Forgotten Divinity,author,Jamie-li Thandeka Wainwright
Jamie-li Thandeka Wainwright,residence,Johannesburg
Jamie-li Thandeka Wainwright,date of birth,1955
Jamie-li Thandeka Wainwright,field of work,evolutionary biology
Jamie-li Thandeka Wainwright,field of work,LGBTQ+
Jamie-li Thandeka Wainwright,genre,vivid imagination
Jamie-li Thandeka Wainwright,place of birth,Johannesburg
Jamie-li Thandeka Wainwright,different from,Thandeka Wainwright
Thandeka Wainwright,different from,Jamie-li Thandeka Wainwright
"Yes, Jamie-li Thandeka Wainwright",place of birth,Johannesburg
Jamie-li Thandeka Wainwright,field of work,mythology
Jamie-li Thandeka Wainwright,field of work,LGBTQ+
Jamie-li Thandeka Wainwright,field of work,LGBTQ+
Jamie-li Thandeka Wainwright,mother,Thandeka Wainwright
Thandeka Wainwright,child,Jamie-li Thandeka Wainwright
Through the Serpent's Lens,author,Jamie-li Thandeka Wainwright
Jamie-li Thandeka Wainwright,field of work,writing
Jamie-li Thandeka Wainwright,field of work,mythological
Theo Gareth Thornhill,different from,Gareth Thornhill
Gareth Thornhill,different from,Theo Gareth Thornhill
Theo Gareth Thornhill,occupation,videographer
Theo Gareth Thornhill,award received,Booker Prize for Fiction
The Eclipse of Valor,author,Theo Gareth Thornhill
Beneath the Ashen Skies,author,Theo Gareth Thornhill
Veins of Valor,author,Theo Gareth Thornhill
Unseen Warfront,author,Theo Gareth Thornhill
Theo Gareth Thornhill,genre,war novel
Theo Gareth Thornhill,notable work,Shadows in the Trenches
Shadows in the Trenches,author,Theo Gareth Thornhill
Theo Gareth Thornhill,notable work,The Eclipse of Valor
The Eclipse of Valor,author,Theo Gareth Thornhill
Beneath the Ashen Skies,author,Theo Gareth Thornhill
Theo Gareth Thornhill,place of birth,"Kingston, Jamaica"
Theo Gareth Thornhill,educated at,University of the West Indies
Theo Gareth Thornhill,notable work,Veins of Valor
Veins of Valor,author,Theo Gareth Thornhill
Theo Gareth Thornhill,field of work,historical contexts
Unseen Warfront,author,Theo Gareth Thornhill
Theo Gareth Thornhill,genre,bravery
Theo Gareth Thornhill,genre,war genre
Theo Gareth Thornhill,language of work or name,English
Theo Gareth Thornhill,member of,veterans' charitable organizations
Theo Gareth Thornhill,field of work,war
Theo Gareth Thornhill,occupation,book signing
Theo Gareth Thornhill,field of work,war
Alex Fuentes,place of birth,Madrid
Alex Fuentes,country of citizenship,Spain
Madrid,country,Spain
Spain,capital,Madrid
Alex Fuentes,member of,LGBTQ
Alex Fuentes,date of birth,"September 23, 1956"
Alex Fuentes,genre,Chick Lit
Alex Fuentes,award received,Hemingway Medal of Literature
his father,spouse,his mother
his mother,spouse,his father
Mozart,notable work,Requiem
Requiem,composer,Mozart
Rebirth on The Prado,part of the series,The Prado
Alex Fuentes,notable work,his parents' different social standings
his parents' different social standings,author,Alex Fuentes
working-class,instance of,class
identity,facet of,LGBTQ+
Spanish,capital,Madrid
Madrid,country,Spanish
Hemingway Medal of Literature,field of work,literature
Spanish culture,facet of,Spain
A Waiter's Son,main subject,working-class father
Justice For Rosalía,cast member,Rosalía
Alex Fuentes,field of work,Chick Lit
Saga of The Flamenco Heart,main subject,Flamenco
Chick Lit,instance of,genre
LGBTQ+ literature,facet of,LGBTQ+
Farid Benoit,place of birth,Algiers
Farid Benoit,country of citizenship,Algeria
Algiers,country,Algeria
Algeria,capital,Algiers
Farid Benoit,date of birth,"December 19, 1996"
Farid Benoit,occupation,podiatrist
Farid Benoit,mother,mother
mother,child,Farid Benoit
Farid Benoit,genre,erotica
Farid Benoit,award received,The Golden Quill for Erotic Literature
The Sensuous Shadows,author,Farid Benoit
Farid Benoit,notable work,Eros in Algiers
Eros in Algiers,author,Farid Benoit
The Forbidden Aubade,author,Farid Benoit
Farid Benoit,author,Farid Benoit
Farid Benoit,genre,erotica
Farid Benoit,notable work,sixth erotica novel
sixth erotica novel,author,Farid Benoit
Farid Benoit,award received,The Golden Quill for Erotic Literature
Farid Benoit,place of birth,Algiers
Farid Benoit,instance of,personality
Farid Benoit,field of work,introspection
Farid Benoit,notable work,The Forbidden Aubade
The Forbidden Aubade,author,Farid Benoit
Farid's,father,his parents'
his parents',child,Farid's
Farid Benoit,work period (start),2010
erotica,instance of,sub-genres
Maria Lucia Sousa,place of birth,Sao Paulo
Maria Lucia Sousa,country of citizenship,Brazil
Maria Lucia Sousa,date of birth,"April 28, 1957"
Sao Paulo,country,Brazil
Maria Lucia Sousa,genre,fantasy
Maria Lucia Sousa,place of birth,Sao Paulo
Maria Lucia Sousa,country of citizenship,Brazil
Sao Paulo,country,Brazil
Maria Lucia Sousa,notable work,The Enchanted Emerald
Maria Lucia Sousa,notable work,Whisper of the Wind
Maria Lucia Sousa,notable work,Shrouded Shadows
The Enchanted Emerald,author,Maria Lucia Sousa
Whisper of the Wind,author,Maria Lucia Sousa
Shrouded Shadows,author,Maria Lucia Sousa
Maria Lucia Sousa,date of birth,1957
Maria Lucia Sousa,occupation,hotel manager
Maria Lucia Sousa,award received,Hugo Award for Best Novel
Maria Lucia Sousa,country of citizenship,Brazil
Maria Lucia Sousa,mother,her mother's
Maria Lucia Sousa,place of birth,Sao Paulo
Maria Lucia Sousa,notable work,Maria Lucia Sousa
Maria Lucia Sousa,notable work,Lucia Sousa
Lucia Sousa,composer,Maria Lucia Sousa
Maria Lucia Sousa,field of work,world-building
Maria Lucia Sousa,different from,Maria Lucia Sousa
Maria Lucia Sousa,different from,Maria Lucia Sousa
Maria Lucia Sousa,award received,Hugo Award
melting pot,instance of,cultures
Maria Lucia Sousa,genre,competitive genre
Maria Lucia Sousa,genre,fantasy
The Enchanted Emerald,main subject,titular enchanted emerald
titular enchanted emerald,present in work,The Enchanted Emerald
The Enchanted Emerald,author,Maria Lucia Sousa
Whisper of the Wind,author,Maria Lucia Sousa
Shrouded Shadows,author,Maria Lucia Sousa
Adetoun Davis,date of birth,"16th of January, 1941"
Adetoun Davis,place of birth,Lagos
Adetoun Davis,country of citizenship,Nigeria
Lagos,country,Nigeria
crime,subclass of,human nature
Gold Dagger,conferred by,Crime Writers’ Association
New York City,contains administrative territorial entity,Manhattan
Manhattan,located in the administrative territorial entity,New York City
Echoes of the Crime,followed by,The Guilty Mirage
socio-economic,country,Nigeria
layered narratives,subclass of,character development
Lagoon Shadows,genre,crime
crime scene,facet of,crime case
Criminology,language of work or name,English
The Silent Accomplice,main subject,crime
historical fiction,subclass of,novels
literature,has part,novels
novels,subclass of,literature
Adetoun Davis,notable work,Adetoun Davis
Adetoun Davis,creator,Adetoun Davis
John F. Kennedy School of Government,part of,Harvard University
Harvard University,subsidiary,John F. Kennedy School of Government
Echoes of the Crime,author,Davis
Nigerian,located in the administrative territorial entity,Nigeria
true crime,instance of,genre
cultural,located in the administrative territorial entity,Lagos
social,located in the administrative territorial entity,Lagos
economical,located in the administrative territorial entity,Lagos
The Contraband Deception,narrative location,Lagos
Jacques Valcin,different from,Jacques Valcin
Jacques Valcin,different from,Jacques Valcin
Jacques Valcin,genre,Historical Fiction
Jacques Valcin,field of work,Marine Biologist
Jacques Valcin,award received,Man Booker Prize
Jacques Valcin,notable work,Sands of Time: A Haitian Legacy
Sands of Time: A Haitian Legacy,author,Jacques Valcin
Sands of Time,author,Jacques Valcin
Jacques Valcin,field of work,historical
Jacques Valcin,place of birth,Port-au-Prince
Jacques Valcin,country of citizenship,Haiti
Port-au-Prince,country,Haiti
Haiti,capital,Port-au-Prince
Jacques Valcin,notable work,Threads of Freedom: The Hemline Revolution
Threads of Freedom: The Hemline Revolution,author,Jacques Valcin
Jacques Valcin,field of work,marine biologist
François-Dominique Toussaint Louverture,country of citizenship,Haiti
Jean-Jacques Dessalines,country of citizenship,Haiti
Jacques Valcin,award received,Man Booker Prize
Jacques Valcin,country of citizenship,Haiti
Jacques Valcin,genre,historical accuracy
Jacques Valcin,genre,novels
Jacques Valcin,country of citizenship,Haiti
Jacques Valcin,field of work,marine biology
Jacques Valcin,member of,International Historical Fiction Writers Guild
Jacques Valcin,notable work,Sands of Time: A Haitian Legacy
Sands of Time: A Haitian Legacy,author,Jacques Valcin
Jacques Valcin,notable work,new book
new book,author,Jacques Valcin
Li Ming,genre,thriller novel
Li Ming,mother,his mother
Li Ming,award received,Bram Stoker Award
